model,layer,variant,stopped_epoch,mse,variance_explained,logitlens_acc,ce_id,ce_sae,ce_zero,loss_recovered
llama,18,hard,15,0.6162509317136365,0.002447022600743611,0.006975169473919099,2.694767985684167,10.811631710667045,11.748929967451774,0.10352407885534577
llama,19,hard,6,0.6271779419336355,-0.0006088864908249864,0.0059941059240849175,2.6949776339151748,14.417172627749864,11.75206468190457,-0.29449114637937684
llama,20,hard,7,0.6405485900116984,-0.00424697236420343,0.007231015458483699,2.6951638676699163,11.113423931025462,11.753153590307862,0.07062216187376466
llama,21,hard,12,0.6650184772066462,-0.011707515913435506,0.004312832311231831,2.6955389802036764,11.557757231015458,11.749117764175406,0.021049198305534873
llama,22,hard,12,0.6890538967480541,-0.01786119928691927,0.002085240956902455,2.6955389802036764,12.32308153984657,11.749117764175406,-0.06345173206865679
llama,23,hard,16,0.7206677659426354,-0.030316755846917287,0.0033336924154169327,2.695499845867222,10.994877429575027,11.752089929863574,0.08362211041089516
llama,24,hard,6,0.7533732791850691,-0.04372116881114876,0.0020698517247481935,2.6949776339151748,11.749025549010858,11.75206468190457,0.00023003360855409932
llama,25,hard,15,0.7829833612237072,-0.04732717060671108,0.002681573702880095,2.694767985684167,11.957582947961312,11.748929967451774,-0.023209338389323767
llama,26,hard,10,0.8355162449895346,-0.07337792830387385,0.003753048991620563,2.6953772129234923,10.172962225206023,11.749053081309007,0.17411594413504314
llama,27,hard,12,0.8906927759510183,-0.09521114281390045,0.004220496918306261,2.6955389802036764,11.810099880925817,11.749117764175406,-0.00684588981903817
llama,28,hard,8,0.9611969339635996,-0.1155374492489115,0.0015793199498311031,2.695147696953317,12.788962770561938,11.751097925531505,-0.11479435652565316
llama,29,hard,16,1.0446078149961515,-0.12728730459879414,0.003603003978116512,2.695499845867222,11.780061181816084,11.752089929863574,-0.0030326468736013037
llama,30,hard,15,1.179222656390078,-0.14425457983844675,0.0039030940051246145,2.694767985684167,10.649526829202607,11.748929967451774,0.12158439740427855
llama,31,hard,18,1.390286794425996,-0.20603710795985095,0.041043082155415855,2.6950726143323767,10.680448966420695,11.748302255099606,0.11789129553215696
llama,0,plain,20,4.147420136780062e-05,0.9287298370053733,0.48206962088626587,2.695400507171382,2.791249544334454,11.749585091873715,0.9894280619024746
llama,1,plain,20,0.00014661097693089903,0.9997375142050687,0.3898842729742,2.695400507171382,2.963428451612407,11.749585091873715,0.9704309449690773
llama,2,plain,20,0.0002940713916113575,0.9994740735747868,0.4079031401728211,2.695400507171382,2.9159796015727797,11.749585091873715,0.9756675055792556
llama,3,plain,20,0.0006517875832747266,0.9988362431249168,0.33631050853717653,2.695400507171382,2.919719846242334,11.749585091873715,0.9752562207244957
llama,4,plain,20,0.0011487224156262364,0.9979536817437583,0.3267037803648787,2.695400507171382,2.923954079252622,11.749585091873715,0.9747938866544784
llama,5,plain,20,0.001756471552294258,0.9968782795736022,0.266820430744608,2.695400507171382,2.9410637794703796,11.749585091873715,0.972903268267518
llama,6,plain,20,0.002468540947938444,0.9956232090971616,0.2813632551303853,2.695400507171382,3.0068603814317374,11.749585091873715,0.9656434822909051
llama,7,plain,20,0.003270890915475623,0.9942148175150203,0.25966251413885705,2.695400507171382,3.0465044260874414,11.749585091873715,0.9612608589843863
llama,8,plain,14,0.0039703799074857936,0.9929855285883968,0.27359169289248314,2.6951269876155153,3.139623076826894,11.751073519171136,0.9509573337317757
llama,9,plain,19,0.0046974963862184286,0.991711922808409,0.2631751063780673,2.6952465547356517,3.1200134379256084,11.747603367548725,0.9531187121553717
llama,10,plain,20,0.0053032587800136855,0.9908058129842011,0.2749978839805788,2.695400507171382,3.2076874264202337,11.749585091873715,0.943463601488698
llama,11,plain,20,0.005783263396184068,0.9899848555804873,0.2225763883011057,2.695400507171382,3.1844458986734483,11.749585091873715,0.946032220933612
llama,12,plain,16,0.006305264025695617,0.9891076965355687,0.28067073968344347,2.6950748385573364,3.1438056717496017,11.748746498949686,0.9504768380116997
llama,13,plain,20,0.007385957734357225,0.9872835085178109,0.2409453605312363,2.695400507171382,3.1736965801278845,11.749585091873715,0.9472324708383781
llama,14,plain,19,0.008374931060215432,0.9856137127175387,0.25383384246043045,2.6952465547356517,3.174302591258147,11.747603367548725,0.9471355650150389
llama,15,plain,16,0.010717104462757776,0.9817748060490733,0.2516043274520818,2.6950748385573364,3.2823352414378157,11.748746498949686,0.9352006273317781
llama,16,plain,20,0.013315626131502592,0.977562709882398,0.2825732335085141,2.695400507171382,3.332478499559483,11.749585091873715,0.9297119715944226
llama,17,plain,18,0.01747487066694148,0.9709684318209079,0.2980701902878556,2.695156593853156,3.430889002277606,11.750292635867684,0.9188199939552529
llama,18,plain,17,0.022335430558605873,0.963463654978372,0.3110009926054739,2.6951412046210015,3.5192245474123007,11.746731832049615,0.9090393211500162
llama,19,plain,19,0.027014742710834767,0.9563695433816315,0.32844083994429096,2.6952465547356517,3.5762840029893583,11.747603367548725,0.9027613245260102
llama,20,plain,10,0.033426880115860376,0.9470657797352443,0.32308346350058864,2.695677453235971,3.653850962981202,11.753331648533022,0.8943031383879056
llama,21,plain,20,0.042975686439204464,0.9340154018852094,0.34941059240849176,2.695400507171382,3.7391809489962373,11.749585091873715,0.8848216793540827
llama,22,plain,20,0.05367082021789093,0.9200402672578082,0.362231746447011,2.695400507171382,3.798083715980179,11.749585091873715,0.878325744167565
llama,23,plain,16,0.06639140044621342,0.9043166643280861,0.39430098260247304,2.6950748385573364,3.8591656222828385,11.748746498949686,0.8715196289203834
llama,24,plain,16,0.07979368307646076,0.8886254622250067,0.4073221966589977,2.6950748385573364,3.917028203412947,11.748746498949686,0.8651393584504765
llama,25,plain,15,0.09531564850360814,0.8715502225246281,0.4118158524480421,2.6955802485938087,3.9862388404021205,11.749325037895984,0.8575370219058075
llama,26,plain,16,0.11345968179837228,0.8533309773929812,0.4612364478574342,2.6950748385573364,4.054760628909826,11.748746498949686,0.8499407070664394
llama,27,plain,12,0.13577038709168937,0.8320522907979142,0.49321527227398987,2.6953916703857312,4.150370020862028,11.749600240649118,0.8394323571003095
llama,28,plain,12,0.1644667722683806,0.8081163505368864,0.5316460322712199,2.6953916703857312,4.231918944673787,11.749600240649118,0.8304712228831972
llama,29,plain,11,0.2014090902254017,0.7816434034015536,0.5619108809565947,2.6954599901605096,4.64764639728457,11.74935749955756,0.7846379193154893
llama,30,plain,8,0.26430769967338097,0.7426226799521144,0.4966297581582167,2.6953428576649916,4.658645550395888,11.750391463592925,0.7834125501691981
llama,31,plain,8,0.44401559242522853,0.6141138584274309,0.41002877786412845,2.6953428576649916,6.045914916301814,11.750391463592925,0.6302630258883086
llama,0,soft,20,4.1326783892577345e-05,0.9289848652879004,0.4816194858457537,2.695400507171382,2.7884526716187934,11.749585091873715,0.9897375066363726
llama,1,soft,20,0.00014331369169606824,0.9997434205105025,0.39404513661790846,2.695400507171382,2.9565780491358944,11.749585091873715,0.971185729137109
